"இறைவன்,DIVINE_BEING"
"தலைச்சென்று,GOING_AHEAD"
"இன்னும்,YET"
"இன்னபல,SUCH_MANY"
"செய்குவன்,WILL_DO"
"யாவரும்,ALL"
"துன்னல்,APPROACHING"
"போகிய,GONE"
"துணிவினோன்,DECISIVE"
"என,SAY"
"ஞாலம்,WORLD"
"நெளிய,CRUSH"
"ஈண்டிய,GATHERED"
"வியன்படை,WIDE_ARMY"
"ஆலங்கானத்து,ALANGANAM"
"அமர்கடந்து,BATTLE_CROSSED"
"அட்ட,KILLED"
"காலமுன்ப,ANCIENT_STRENGTH"
"கண்டனென்,SAW"
"வருவல்,WILL_COME"
"அறுமருப்பு,BROKEN_TUSK"
"எழிற்கலை,BEAUTIFUL_STAG"
"புலிப்பால்,TIGER_MILK"
"பட்டென,OBTAINED"
"சிறுமறி,SMALL_FAWN"
"தழீஇய,EMBRACING"
"தெறிநடை,LEAPING_WALK"
"மடப்பிணை,GENTLE_DOE"
"பூளை,POOLAI"
"நீடிய,EXTENDED"
"வெருவரு,FEARFUL"
"பறந்தலை,BATTLEFIELD"
"வேளை,VELAI"
"வெண்பூ,WHITE_FLOWER"
"கறிக்கும்,TEAR"
"ஆளில்,PERSON_NOT"
"அத்தம்,PATH"
"ஆகிய,BECAME"
"காடே,FOREST"
"மாங்குடி,MAANGUDI"
"கிழவர்,ELDER"
"மருதனார்,MARUTHANAR"
"நெல்,RICE"
"அரியும்,CUT"
"இருந்தொழுவர்,BIG_COWHERDS"
"செஞ்ஞாயிற்று,RED_SUN"
"வெயில்,SUNLIGHT"
"முனையின்,LIKE_EDGE"
"தென்கடல்,SOUTH_SEA"
"திரை,WAVE"
"மிசைப்பாய்ந்து,ON_TOP_JUMP"
"திண்திமில்,STRONG_BOAT"
"வன்பரதவர்,STRONG_FISHERMEN"
"வெப்புடைய,HOT"
"மட்டுண்டு,DRINK_SWEET"
"தண்குரவை,COOL_KURAVAI"
"சீர்தூங்கு,FAME_SLEEP"
"தூவற்,FEATHER"
"கலித்த,ABUNDANT"
"தேம்பாய்,HONEY_FLOW"
"புன்னை,PUNNAI"
"மெல்லிணர்,SOFT_CLUSTER"
"கண்ணி,GARLAND"
"மிலைந்த,WEAR"
"மைந்தர்,STRONG_MEN"
"எல்வளை,SHINING_BANGLE"
"மகளிர்த்,WOMEN"
"தலைக்கை,HAND"
"தரூஉந்து,GIVE"
"வண்டுபட,BEES_SETTLE"
"மலர்ந்த,BLOOMED"
"தண்ணறுங்,COOL_FRAGRANT"
"கானல்,GROVE"
"முண்டகக்,MUNDAGAM"
"கோதை,GARLAND"
"ஒண்டொடி,BRIGHT_BANGLE"
"மகளிர்,WOMEN"
"இரும்பனையின்,GREAT_PALM"
"குரும்பை,TENDER_FRUIT"
"நீரும்,WATER"
"பூங்கரும்பின்,FLOWER_SUGARCANE"
"தீஞ்சாறும்,SWEET_JUICE"
"ஓங்குமணல்,HIGH_SAND"
"குலவுத்,FLOURISHING"
"தாழை,THAZHAI"
"தீநீரோடு,HOT_WATER"
"உடன்,TOGETHER"
"விராஅய,MIX"
"முந்நீர்,SEA"
"உண்டு,DRINK"
"முந்நீர்ப்,SEA"
"பாயும்,SPRING"
"தாங்கா,UNSTABLE"
"உறையுள்,RESIDENCE"
"நல்லூர்,GOOD_VILLAGE"
"கெழீஇய,ABIDE"
"ஒம்பா,UNPROTECTED"
"ஈகை,CHARITY"
"மாவேள்,GREAT_VEL"
"எவ்வி,EVVI"
"புனலம்,WATER_BEAUTY"
"புதவின்,WITH_WALL"
"மிழலையொடு,MIZHALAI"
"கழனிக்,FIELD"
"கயலார்,FISH_EYED"
"நாரை,STORK"
"போர்வில்,FIGHT_BOW"
"சேக்கும்,REST"
"பொன்னணி,GOLD_ORNAMENT"
"யானை,ELEPHANT"
"தொன்முதிர்,ANCIENT_AGED"
"வேளிர,VELIR"
"குப்பை,HEAP"
"நெல்லின்,RICE"
"முத்தூறு,PEARL_FOUNTAIN"
"தந்த,BROUGHT"
"கொற்ற,VICTORIOUS"
"நீள்குடை,LONG_UMBRELLA"
"கொடித்தேர்ச்,FLAG_CHARIOT"
"செழிய,PANDYA"
"நின்று,STAND"
"நிலைஇயர்,REMAIN"
"நாண்மீன்,SHINING_STAR"
"நில்லாது,NOT_STAND"
"படாஅச்,NOT_FLY"
"செலீஇயர்,GO"
"நின்பகைவர்,YOUR_ENEMIES"
"மீனே,STAR"
"நின்னொடு,WITH_YOU"
"தொன்றுமூத்த,ANCIENT_AGED"
"உயிரினும்,THAN_LIFE"
"உயிரொடு,WITH_LIFE"
"நின்று,STAND"
"மூத்த,AGED"
"யாக்கை,BEING"
"அன்ன,LIKE"
"ஆடுகுடி,HERD"
"மூத்த,AGED"
"விழுத்திணை,GOOD_CLAN"
"சிறந்த,EXCELLENT"
"வாளின்,SWORD"
"வாழ்நர்,LIVING_PEOPLE"
"தாள்வலம்,LEG_RIGHT"
"வாழ்த்த,PRAISE"
"இரவன்மாக்கள்,BEGGARS"
"ஈகை,CHARITY"
"நுவல,SPEAK"
"ஒண்டொடி,BRIGHT_BANGLE"
"மகளிர்,WOMEN"
"பொலங்கலத்து,GOLDEN_VESSEL"
"ஏந்திய,RAISED"
"தண்கமழ்,COOL_FRAGRANT"
"தேறல்,CLEAR_DRINK"
"மடுப்ப,DRINK"
"மகிழ்சிறந்த,EXCELLENT_JOY"
"ஆங்கு,THERE"
"இனிது,SWEET"
"ஒழுகுமதி,LIVE"
"பெரும,LORD"
"ஆங்கது,THAT"
"வல்லுநர்,SKILLED"
"வாழ்ந்தோர்,LIVED"
"என்ப,SAY"
"தொல்லிசை,ANCIENT_FAME"
"மலர்தலை,FLOWER_HEADED"
"உலகத்து,IN_WORLD"
"தோன்றி,APPEAR"
"பலர்செலச்,MANY_GO"
"செல்லாது,NOT_GOING"
"நின்று,STANDING"
"விளிந்தோரே,DIED"
"கூந்தல்,HAIR"
"வேலும்,SPEAR"
"மீன்,STAR"
"திகழ்,SHINE"
"விசும்பின்,SKY"
"பாய்இருள்,SPREADING_DARKNESS"
"அகல,REMOVE"
"ஈண்டு,ABUNDANT"
"செலல்,MOVING"
"மரபின்,NATURE"
"இயல்,NATURE"
"வழாஅது,NOT_DEVIATE"
"உரவுச்சினம்,FIERCE_ANGER"
"திருகிய,TWISTED"
"உரு,FORM"
"கெழு,HAVING"
"ஞாயிறு,SUN"
"நிலவு,MOONLIGHT"
"திகழ்,SHINE"
"மதியமொடு,WITH_MOON"
"நிலஞ்சேர்ந்தாங்கு,EARTH_JOINED_LIKE"
"உடலருந்,FIGHT_DIFFICULT"
"துப்பின்,WITH_STRENGTH"
"ஒன்றுமொழி,UNANIMOUS"
"வேந்தரை,KINGS"
"அணங்கரும,PAINFUL"
"பறந்தலை,BATTLEFIELD"
"உணங்கப்,DRY"
"பண்ணி,MAKE"
"பிணியுறு,DISEASED"
"முரசம்,DRUM"
"கொண்ட,TOOK"
"காலை,TIME"
"நிலை,POSITION"
"திரிபு,CHANGE"
"எறியத்,STRIKE"
"திண்மடை,STRONG_LOCK"
"கலங்கிச,CONFUSED"
"சிதைதல்,DESTROY"
"உய்ந்தன்றோ,SURVIVED"
"நின்வேல்,YOUR_SPEAR"
"செழிய,PANDYA"
"முலை,BREAST"
"பொலி,ABUNDANT"
"அகம்,INSIDE"
"உருப்ப,FEAR"
"நூறி,GRIND"
"மெய்ம்மறந்து,BODY_FORGETTING"
"பட்ட,OBTAINED"
"வரையாப்,BOUNDLESS"
"பூசல்,NOISE"
"ஒண்ணுதல்,BRIGHT_FOREHEAD"
"மகளிர்,WOMEN"
"கைம்மை,WIDOWHOOD"
"கூர,INCREASE"
"அவிர்,SHINE"
"அறல்,CURRENT"
"கடுக்கும்,LIKE"
"அம்மென்,SOFT"
"குவை,ABUNDANT"
"இரும்,GREAT"
"கூந்தல்,HAIR"
"கொய்தல்,PLUCK"
"கண்டே,SAW"
"நோற்றார்,THOSE_WHO_PRAYED"
"நின்பகைவர்,YOUR_ENEMIES"
"நளி,DENSE"
"கடல்,SEA"
"இருங்குட்டத்து,GREAT_LAKE"
"வளி,WIND"
"புடைத்த,STRUCK"
"கலம்போல,LIKE_SHIP"
"களிறு,ELEPHANT"
"சென்று,GOING"
"களன்,FIELD"
"அகற்றவும்,REMOVE"
"அகற்றிய,REMOVED"
"வியலாங்கண்,WIDE_PLACE"
"ஒளிறு,SHINE"
"இலைய,LEAF"
"எகு,ARROW"
"ஏந்தி,HOLDING"
"அரைசுபட,KING_FALL"
"அமர்,BATTLE"
"உழக்கி,STRUGGLE"
"உரை,FAME"
"செல,GO"
"முரசு,DRUM"
"வெளவி,SEIZE"
"முடித்தலை,CRESTED_HEAD"
"அடுப்பாக,BURN"
"புனல்,WATER"
"குருதி,BLOOD"
"உலைக்,COOKING_POT"
"கொளீஇ,PLACE"
"தொடித்தோள்,BANGLED_ARM"
"துடுப்பின்,OAR"
"துழந்த,STIRRED"
"வல்சியின்,FOOD"
"அடுகளம்,BATTLEFIELD"
"வேட்ட,WANTED"
"அடுபோர்ச்,FIERCE_WAR"
"ஆன்ற,ESTABLISHED"
"கேள்வி,LEARNING"
"அடங்கிய,CONTROLLED"
"கொள்கை,PRINCIPLE"
"நான்மறை,FOUR_VEDAS"
"முதல்வர்,ELDERS"
"சுற்றமாக,WITH_KIN"
"மன்னர்,KINGS"
"ஏவல்,COMMAND"
"செய்ய,DO"
"மன்னிய,ESTABLISHED"
"வேள்வி,SACRIFICE"
"முற்றிய,COMPLETED"
"வாய்வாள்,TRUTHFUL_SWORD"
"வேந்தே,KING"
"மன்ற,INDEED"
"நின்பகைவர்,YOUR_ENEMIES"
"மாற்றார்,ENEMIES"
"என்னும்,CALLED"
"பெயர்,NAME"
"பெற்று,OBTAIN"
"ஆற்றார்,WEAK"
"ஆயினும்,EVEN_IF"
"ஆண்டு,THERE"
"வாழ்வோரே,THOSE_LIVING"
"உறையூர்,URAIYUR"
"முதுகண்ணன்,MUDUKANNAN"
"சாத்தனார்,SATHANAR"
"நலங்கிள்ளி,NALANKILLI"
"சேற்று,MUD"
"வளர்,GROW"
"தாமரை,LOTUS"
"பயந்த,PRODUCED"
"ஒண்கேழ்,BRIGHT_COLOR"
"நூற்றிதழ்,HUNDRED_PETAL"
"அலரின்,BLOOM"
"நிறை,FULLNESS"
"கண்டன்ன,SAW_LIKE"
"வேற்றுமை,DIFFERENCE"
"இல்லா,WITHOUT"
"விழுத்திணை,GOOD_CLAN"
"பிறந்து,BORN"
"வீற்றிருந்தோரை,THOSE_SEATED"
"எண்ணுங்காலை,WHEN_COUNTING"
"உரையும்,SPEECH"
"பாட்டும்,SONG"
"உடையோர்,THOSE_HAVING"
"சிலரே,FEW"
"மரைஇலை,DEER_LEAF"
"போல,LIKE"
"மாய்ந்திசினோர்,PERISHED"
"பலரே,MANY"
"புலவர்,POETS"
"பாடும்,SING"
"புகழுடையோர்,THOSE_WITH_FAME"
"விசும்பின்,SKY"
"வலவன்,CHARIOTEER"
"ஏவா,NOT_COMMAND"
"வானூர்தி,SKY_VEHICLE"
"எய்துப,ATTAIN"
"என்ப,SAY"
"தம்செய்வினை,THEIR_DEED"
"முடித்து,COMPLETE"
"என,SAY"
"கேட்பல்,HEAR"
"எந்தை,FATHER"
"சேட்சென்னி,SIR"
"நலங்கிள்ளி,NALANKILLI"
"தேய்தல்,DECREASE"
"உண்மையும்,EXISTENCE"
"பெருகல்,INCREASE"
"உண்மையும்,EXISTENCE"
"மாய்தல்,DESTROY"
"உண்மையும்,EXISTENCE"
"பிறத்தல்,BIRTH"
"உண்மையும்,EXISTENCE"
"அறியாதோரையும்,THOSE_NOT_KNOWING"
"அறிய,KNOW"
"காட்டி,SHOW"
"திங்கட்புத்தேள்,MOON_GOD"
"திரிதரு,WANDER"
"உலகத்து,IN_WORLD"
"வல்லார்,SKILLED"
"ஆயினும்,EVEN_IF"
"வல்லுநர்,SKILLED"
"ஆயினும்,EVEN_IF"
"வருந்தி,SUFFERING"
"வந்தோர்,THOSE_CAME"
"மருங்கு,SIDE"
"நோக்கி,LOOKING"
"அருள,GRACE"
"வல்லை,ABLE"
"ஆகுமதி,BE"
"அருளிலர்,MERCILESS"
"கொடா,NOT_GIVING"
"அமை,CONTENT"
"வல்லர்,ABLE"
"ஆகுக,BE"
"கெடாஅத்,IMPERISHABLE"
"துப்பின்,STRENGTH"
"நின்பகை,YOUR_ENEMY"
"எதிர்ந்தோரே,THOSE_OPPOSED"
"சிறப்பில்,GLORY_NOT"
"சிதடும்,CRIPPLE"
"உறுப்பில்,LIMB_NOT"
"பிண்டமும்,DEFORMED"
"கூனும்,HUNCHBACK"
"குறளும்,DWARF"
"ஊமும்,MUTE"
"செவிடும்,DEAF"
"மாவும்,STUPID"
"மருளும்,CONFUSED"
"உளப்பட,INCLUDING"
"வாழ்நர்க்கு,FOR_LIVING"
"எண்பேர்,EIGHT_NAMES"
"எச்சம்,REMAINDER"
"என்றிவை,CALLED_THESE"
"எல்லாம்,ALL"
"பேதைமை,FOOLISHNESS"
"அல்லது,EXCEPT"
"ஊதியம்,PROFIT"
"இல்,NO"
"என,SAY"
"முன்னும்,BEFORE"
"அறிந்தோர்,KNOWERS"
"கூறினர்,SAID"
"இன்னும்,STILL"
"அதன்திறம்,ITS_NATURE"
"அத்தை,THAT"
"யான்,I"
"உரைக்க,TO_SAY"
"வந்தது,CAME"
"வட்ட,ROUND"
"வரிய,STRIPED"
"செம்பொறி,RED_SPOT"
"சேவல்,ROOSTER"
"ஏனல்,MILLET"
"காப்போர்,PROTECTORS"
"உணர்த்திய,INFORMED"
"கூஉம்,CALL"
"கானத்தோர்,JUNGLE_PEOPLE"
"நின்தெவ்வர்,YOUR_ENEMIES"
"நீயே,YOU"
"புறஞ்சிறை,OUTSIDE_WING"
"மாக்கட்கு,PEOPLE"
"அறங்குறித்து,RIGHTEOUS_INTENT"
"அகத்தோர்,INSIDE_PEOPLE"
"புய்த்தெறி,THROW"
"கரும்பின்,SUGARCANE"
"விடுகழை,BAMBOO"
"தாமரைப்,LOTUS"
"பூம்போது,FLOWER_BUD"
"சிதைய,DESTROY"
"வீழ்ந்தென,FALL"
"கூத்தர்,DANCERS"
"ஆடுகளம்,DANCE_GROUND"
"கடுக்கும்,LIKE"
"அகநாட்டையே,INSIDE_COUNTRY"
"அதனால்,THEREFORE"
"அறனும்,RIGHTEOUSNESS"
"பொருளும்,WEALTH"
"இன்பமும்,PLEASURE"
"மூன்றும்,THREE"
"ஆற்றும்,PERFORM"
"பெரும,LORD"
"நின்செல்வம்,YOUR_WEALTH"
"ஆற்றாமை,IMPOTENCE"
"நின்போற்றாமையே,YOUR_NEGLIGENCE"
"நண்பின்,FRIENDSHIP"
"பண்பினன்,CHARACTER"
"ஆகுக,BE"
"அழல்,FIRE"
"புரிந்த,EMBRACED"
"அடர்,DENSE"
"தாமரை,LOTUS"
"ஐது,SLENDER"
"அடர்ந்த்ற,THICK"
"நூற்பெய்து,THREAD_PLACE"
"புனைவிளைப்,DECORATED"
"பொலிந்த,ADORNED"
"பொலன்,GOLD"
"நறுந்தெரியல்,FRAGRANT_GARLAND"
"பாறு,EAGLE"
"மயிர்,HAIR"
"இருந்தலை,GREAT_HEAD"
"பொலிய,SHINE"
"சூடி,WEAR"
"பாண்முற்றுக,PLEASE_SING"
"நாள்மகிழ்,DAY_JOY"
"இருக்கை,SEAT"
"முற்று,END"
"ஒழிந்த,LEFT"
"பின்றை,AFTER"
"மகளிர்,WOMEN"
"தோள்முற்றுக,ARMS_FULL"
"சாந்துபுலர்,SANDAL_FADED"
"அகலம்,CHEST"
"ஆங்க,THERE"
"முனிவில்,ANGER_NOT"
"முற்றத்து,COURTYARD"
"இனிது,SWEET"
"முரசு,DRUM"
"இயம்ப,SOUND"
"கொடியோர்த்,CRUEL_PEOPLE"
"தெறுதலும்,DESTROY"
"செவ்வியோர்க்கு,GOOD_PEOPLE"
"அளித்தலும்,GIVE"
"ஒடியா,UNBROKEN"
"முறையின்,ORDER"
"மடிவிலை,DEATH_NOT"
"யாகி,BEING"
"நல்லதன்,GOOD"
"நலனும்,GOODNESS"
"தீயதன்,EVIL"
"தீமையும்,EVIL"
"இல்லை,NO"
"என்போர்க்கு,THOSE_WHO_SAY"
"இனன்,FRIEND"
"ஆகிலியர்,BE_NOT"
"நெல்விளை,RICE_CULTIVATION"
"கழனிப்,FIELD"
"படுபுள்,BIRD"
"ஓப்புநர்,DRIVERS"
"ஒழிமடல்,LEFT_PALM_LEAF"
"விறகின்,FIREWOOD"
"கழுமீன்,FISH"
"சுட்டு,COOK"
"வெங்கள்,HOT_KALL"
"தொலைச்சியும்,DESTROY"
"அமையார்,NOT_SATISFIED"
"தெங்கின்,COCONUT"
"இளநீர்,TENDER_COCONUT_WATER"
"உதிர்க்கும்,SHED"
"வளமிகு,ABUNDANT"
"நன்னாடு,GOOD_COUNTRY"
"பெற்றனர்,OBTAINED"
"உவக்கும்,REJOICE"
"நின்படைகொள்மாக்கள்,YOUR_ARMY_PEOPLE"
"பற்றாமாக்களின்,ENEMIES"
"பரிவு,CONCERN"
"முன்து,FRONT"
"உறுத்துக,CAUSE"
"கூவை,STACK"
"துற்ற,ABOUNDING"
"நாற்கால்,FOUR_LEG"
"பந்தர்ச்,PANDAL"
"சிறுமனை,SMALL_HOUSE"
"வாழ்க்கையின்,FROM_LIFE"
"ஒரீஇ,LEAVING"
"வருநர்க்கு,TO_COMERS"
"உதவி,HELP"
"ஆற்றும்,ABLE"
"நண்பின்,FRIENDSHIP"
"பண்புடை,CHARACTER"
"ஊழிற்று,DESTINY"
"ஆக,BE"
"செய்கை,DEED"
"விழவின்,FESTIVAL"
"கோடியர்,MANY"
"நீர்மை,NATURE"
"போல,LIKE"
"முறைமுறை,ORDER_BY_ORDER"
"ஆடுநர்,DANCERS"
"கழியும்,PASS"
"இவ்வுலகத்து,THIS_WORLD"
"கூடிய,JOINED"
"நகைப்புறனாக,SMILE_OUTSIDE"
"சுற்றம்,KIN"
"இசைப்புறனாக,FAME_OUTSIDE"
"ஓம்பிய,PROTECTED"
"பொருளே,WEALTH"
"எங்ஙனம்,HOW"
"பாடுவர்,WILL_SING"
"செஞ்ஞாயிற்றுச்,RED_SUN"
"செலவும்,GOING"
"அஞ்ஞாயிற்றுப்,THAT_SUN"
"பரிப்பும்,COURSE"
"பரிப்புச்,COURSE"
"சூழ்ந்த,SURROUNDED"
"மண்டிலமும்,ORB"
"வளிதிரிதரு,WIND_CHANGE"
"திசையும்,DIRECTION"
"வறிது,EMPTY"
"நிலைஇய,STOOD"
"காயமும்,SPACE"
"என்றிவை,THESE"
"சென்றளந்து,GO_MEASURE"
"அறிந்தார்,KNOWERS"
"போல,LIKE"
"என்றும்,EVER"
"இனைத்து,SUCH"
"என்போரும்,THOSE_WHO_SAY"
"உளரே,EXIST"
"அனைத்தும்,ALL_THAT"
"அறிவு,WISDOM"
"அறிவாக,AS_KNOWLEDGE"
"செறிவினை,FOCUS"
"யாகி,BEING"
"களிறுகவுள்,ELEPHANT_CHEEK"
"அடுத்த,NEAR"
"எறிகல்,THROWING_STONE"
"போல,LIKE"
"ஒளித்த,HIDDEN"
"துப்பினை,STRENGTH"
"ஆதலின்,BECAUSE"
"வெளிப்பட,OPENLY"
"யாங்ஙனம்,HOW"
"பாடுவர்,WILL_SING"
"புலவர்,POETS"
"கூம்பொடு,WITH_SAIL"
"மீப்பாய்,BOAT_SAIL"
"களையாது,NOT_REMOVE"
"மிசைப்பரந்,TOP_SPREAD"
"தோண்டாது,NOT_DIG"
"புகாஅர்ப்,INACCESSIBLE"
"புகுந்த,ENTERED"
"பெருங்கலம்,GREAT_SHIP"
"தகாஅர்,UNFIT"
"இடைப்புலப்,INTERMEDIATE_FIELD"
"பெருவழிச்,GREAT_PATH"
"சொரியும்,POUR"
"கடல்பல்,SEA_MANY"
"தாரத்த,TYPE"
"நாடுகிழவோயே,LAND_OWNER"
"கோவூர்கிழார்,POET"
"வடநாட்டார்,NORTHERNERS"
"தூங்கார்,SLEEP_NOT"
"சிறப்புடை,GLORIOUS"
"மரபிற்,IN_LINEAGE"
"பொருளும்,WEALTH"
"இன்பமும்,PLEASURE"
"அறத்து,RIGHTEOUSNESS"
"வழிப்படூஉம்,FOLLOW"
"தோற்றம்போல,APPEARANCE_LIKE"
"இருகுடை,TWO_UMBRELLAS"
"பின்பட,BEHIND"
"ஓங்கி,RISE"
"ஒருகுடை,ONE_UMBRELLA"
"உரு,FORM"
"கெழு,HAVING"
"மதியின்,MOON"
"நிவந்து,RISING"
"சேண்,FAR"
"விளங்க,SHINE"
"நல்லிசை,GOOD_FAME"
"வேட்டம்,WANTING"
"வேண்டி,FOR_SAKE"
"வெல்போர்ப்,VICTORIOUS_WAR"
"பாசறையல்லது,CAMP_EXCEPT"
"நீயொல்லாயே,YOU_NOT_WANT"
"நிதிமுகம்,TREASURE_FACE"
"மழுங்க,BLUNT"
"மண்டி,RUSH"
"ஒன்னார்,ENEMIES"
"கடிமதில்,GUARDED_WALL"
"பாயும்,SPRING"
"நின்களிறு,YOUR_ELEPHANT"
"அடங்கலவே,CONTROLLED"
"போர்,WAR"
"எனில்,IF_SAY"
"புகலும்,SAY"
"புனைகழல்,DECORATED_ANKLET"
"மறவர்,WARRIORS"
"காடிடைக்,JUNGLE"
"கிடந்த,LAID"
"நாடுநனி,COUNTRY_VERY"
"சேஎய,FAR"
"செல்வேம்அல்லேம்,WE_WILL_NOT_GO"
"என்னார்,NOT_SAY"
"கல்லென்,NOISY"
"விழவுடை,FESTIVAL_HAVING"
"ஆங்கண்,THERE"
"வேற்றுப்புலத்து,OTHER_COUNTRY"
"இறுத்து,STOP"
"குணகடல்,EAST_SEA"
"பின்னதாக,BEHIND"
"குடகடல்,WEST_SEA"
"வெண்தலைப்,WHITE_HEAD"
"புணரி,WAVE"
"நின்மான்,YOUR_HORSE"
"குளம்பு,HOOF"
"அலைப்ப,STRIKE"
"வலமுறை,RIGHT_ORDER"
"வருதலும்,COMING"
"உண்டு,EXISTS"
"என்று,SAY"
"அலமந்து,CONFUSED"
"நெஞ்சு,HEART"
"நடுங்கு,TREMBLE"
"அவலம்,GRIEF"
"பாயத்,SPRING"
"துஞ்சாக்கண்ண,UNSLEEPING_EYES"
"வடபுலத்து,NORTHERN_REGION"
"அரசே,KINGS"
"பூவிலையும்,FLOWER_PRICE"
"மாடமதுரையும்,MANSION_MADURAI"
"கடும்பின்,FAMILY"
"அடுகலம்,BATTLE_FIELD"
"நிறையாக,FULL"
"நெடுங்கொடிப்,LONG_FLAG"
"பூவா,FLOWER_NOT"
"வஞ்சியும்,VANJI"
"தருகுவன்,WILL_GIVE"
"ஒன்றோ,ONE"
"வண்ணம்,COLOR"
"நீவிய,SPREAD"
"வணங்குஇறைப்,BOWED_TOP"
"பணைத்தோள்,DRUM_SHOULDER"
"ஒண்ணுதல்,BRIGHT_FOREHEAD"
"விறலியர்,DANCERS"
"பூவிலை,FLOWER_PRICE"
"பெறுக,OBTAIN"
"என,SAY"
"மாடமதுரையும்,MANSION_MADURAI"
"தருகுவன்,WILL_GIVE"
"எல்லாம்,ALL"
"பாடுகம்,WE_WILL_SING"
"வம்மினோ,COME"
"பரிசில்மாக்கள்,BARDS"
"தொன்னிலக்,ANCIENT_STANDING"
"கிழமை,POSSESSION"
"சுட்டின்,IF_POINT"
"நன்மதி,GOOD_MOON"
"வேட்கோச்சிறாஅர்,VELLALA_YOUTHS"
"தேர்க்கால்,CHARIOT_WHEEL"
"வைத்த,KEPT"
"பசுமண்,WET_CLAY"
"குரூஉத்திரள்,ROUND_BALL"
"போல,LIKE"
"அவன்,HE"
"கொண்ட,TOOK"
"குடுமித்தும்,WITH_TOP_KNOT"
"இத்தண்பணை,THIS_COOL_GROVE"
"நாடே,COUNTRY"
"புதுப்பூம்பள்ளி,NEW_FLOWER_BED"
"கான்,FOREST"
"உறை,LIVE"
"வாழ்க்கை,LIFE"
"கதநாய்,FIERCE_DOG"
"வேட்டுவன்,HUNTER"
"மான்தசை,DEER_FLESH"
"சொரிந்த,POURED"
"வட்டியும்,MEASURE"
"ஆய்மகள்,HERD_GIRL"
"தயிர்கொடு,CURD_WITH"
"வந்த,CAME"
"தசும்பும்,POT"
"நிறைய,FULL"
"ஏரின்,PLOUGH"
"வாழ்நர்,LIVERS"
"பேரில்,GREAT_HOUSE"
"அரிவையர்,WOMEN"
"குளக்கீழ்,TANK_BELOW"
"விளைந்த,RIPENED"
"களக்கொள்,BATTLEFIELD_TAKE"
"வெண்ணெல்,WHITE_RICE"
"முகந்தனர்,TOOK"
"கொடுப்ப,GIVE"
"உகந்தனர்,REJOICE"
"பெயரும்,GO"
"தென்னம்பொருப்பன்,TENNAN_PORUPPAN"
"புன்னாட்டுள்ளும்,PUNA_LAND"
"ஏழெயில்,SEVEN_FORTS"
"கதவம்,GATE"
"எறிந்து,BREAK"
"கைக்கொண்டு,TAKE"
"நின்,YOUR"
"பேழ்வாய்,WIDE_MOUTH"
"உழுவை,TIGER"
"பொறிக்கும்,IMPRESS"
"ஆற்றலை,ABILITY"
"பாடுநர்,SINGERS"
"வஞ்சி,VANJI"
"பாட,SING"
"படையோர்,WARRIORS"
"தாது,POLLEN"
"எரு,REFUSE"
"மறுகின்,STREET"
"பாசறை,CAMP"
"பொலிய,SHINE"
"புலராப்,NOT_DRYING"
"பச்சிலை,GREEN_LEAF"
"இடையிடுபு,PLACE"
"தொடுத்த,TIED"
"மலராமாலை,NOT_BLOOMING_GARLAND"
"பந்து,BALL"
"கண்டன்ன,SAW_LIKE"
"ஊன்சோற்றமலை,MEAT_RICE_BALL"
"பான்கடும்பு,SINGER_FAMILY"
"அருத்தும்,FEED"
"செம்மற்று,RED"
"அம்மநின்,AH_YOUR"
"வெம்முனை,HOT_BATTLE"
"இருக்கை,SEAT"
"வல்லோன்,SKILLED"
"தைஇய,MADE"
"வரி,LINE"
"வனப்பு,BEAUTY"
"உற்ற,OBTAINED"
"அல்லிப்,ALLI"
"பாவை,DOLL"
"ஆடுவனப்பு,DANCE_BEAUTY"
"ஏய்ப்ப,LIKE"
"காம,KAMA"
"இருவர்,TWO"
"அல்லது,EXCEPT"
"யாமத்து,NIGHT"
"தனிமகன்,ALONE_MAN"
"வழங்காப்,NOT_WALK"
"பனிமலர்க்,DEW_FLOWER"
"காவின்,GROVE"
"ஒதுக்குஇன்,SHADE_SWEET"
"திணிமணல்,SOLID_SAND"
"புதுப்பூம்பள்ளி,NEW_FLOWER_BED"
"வாயின்,ENTRANCE"
"மாடந்தொறும்,EVERY_STOREY"
"மைவிடை,DARK_BULL"
"வீழ்ப்ப,FALL"
"நீஆங்குக்,LIKE_THAT"
"கொண்ட,TOOK"
"விழவினும்,THAN_FESTIVAL"
"பலவே,MANY"
"ஆலத்தூர்,ALATHUR"
"கிழார்,POET"
"குளமுற்றத்துத்,KULAMUTTRATHU"
"துஞ்சிய,SLEPT"
"கிள்ளிவளவன்,KILLIVALAVAN"
"செய்தி,DEED"
"கொன்றோர்க்கு,THOSE_KILLED"
"உய்தி,SALVATION"
"இல்லை,NO"
"ஆன்மலை,COW_MOUNTAIN"
"அறுத்த,CUT"
"அறனிலோர்க்கும்,TO_THE_UNRIGHTEOUS"
"மாண்இழை,EXCELLENT_JEWEL"
"மகளிர்,WOMEN"
"கருச்சிதைத்தோர்க்கும்,TO_THOSE_ABORTING"
"குரவர்த்,ELDERS"
"தப்பிய,FAILED"
"கொடுமையோர்க்கும்,TO_THE_CRUEL"
"வழுவாய்,FAULT"
"மருங்கின்,SIDE"
"கழுவாயும்,REMEDY"
"உள,EXIST"
"என,SAY"
"நிலம்புடைபெயர்வ,EARTH_SHIFTING"
