Poem_Summary,Line_Original,Line_Summary,Word_Original,Hierarchical_Entity_Tag,Notes
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",மலர் இலகின வளர் பரிதியின் ஒளி மணி மார்பு அணி,"Flowers shine, growing sun's light jewel chest ornament",பரிதியின்,SUN_GENITIVE,"Of the sun; genitive case"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",மலர் இலகின வளர் பரிதியின் ஒளி மணி மார்பு அணி,"Flowers shine, growing sun's light jewel chest ornament",ஒளி,LIGHT_RADIANCE,"Light, radiance"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",மலர் இலகின வளர் பரிதியின் ஒளி மணி மார்பு அணி,"Flowers shine, growing sun's light jewel chest ornament",மணி,JEWEL_GEM,"Jewel"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",மலர் இலகின வளர் பரிதியின் ஒளி மணி மார்பு அணி,"Flowers shine, growing sun's light jewel chest ornament",மார்பு,BODY_PART_CHEST,"Chest"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",மலர் இலகின வளர் பரிதியின் ஒளி மணி மார்பு அணி,"Flowers shine, growing sun's light jewel chest ornament",அணி,ORNAMENT_DECORATION,"Ornament"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",மணம் மிக நாறு உருவின விரை வளி மிகு கடு விசை,"Fragrance abundant smelling form swift wind abundant fierce speed",மணம்,FRAGRANCE_SCENT,"Fragrance, scent"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",மணம் மிக நாறு உருவின விரை வளி மிகு கடு விசை,"Fragrance abundant smelling form swift wind abundant fierce speed",மிக,ABUNDANT_EXCESSIVE,"Abundant, excessive"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",மணம் மிக நாறு உருவின விரை வளி மிகு கடு விசை,"Fragrance abundant smelling form swift wind abundant fierce speed",நாறு,VERB_SMELL,"Smell, emit fragrance; verb"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",மணம் மிக நாறு உருவின விரை வளி மிகு கடு விசை,"Fragrance abundant smelling form swift wind abundant fierce speed",உருவின,FORM_SHAPE_GENITIVE,"Of form; genitive case"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",மணம் மிக நாறு உருவின விரை வளி மிகு கடு விசை,"Fragrance abundant smelling form swift wind abundant fierce speed",விரை,SWIFT_FAST,"Swift, fast"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",மணம் மிக நாறு உருவின விரை வளி மிகு கடு விசை,"Fragrance abundant smelling form swift wind abundant fierce speed",வளி,WIND_AIR,"Wind, air"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",மணம் மிக நாறு உருவின விரை வளி மிகு கடு விசை,"Fragrance abundant smelling form swift wind abundant fierce speed",மிகு,ABUNDANT_EXCESSIVE,"Abundant"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",மணம் மிக நாறு உருவின விரை வளி மிகு கடு விசை,"Fragrance abundant smelling form swift wind abundant fierce speed",கடு,FIERCE_INTENSE,"Fierce, intense"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",மணம் மிக நாறு உருவின விரை வளி மிகு கடு விசை,"Fragrance abundant smelling form swift wind abundant fierce speed",விசை,SPEED_VELOCITY,"Speed, velocity"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",உடுவுறு தலை நிரை இதழ் அணி வயிறு இரிய அமரரைப்,"Body possessing head row petal ornament stomach scatter celestials",உடுவுறு,BODY_POSSESSING,"Body-possessing; compound"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",உடுவுறு தலை நிரை இதழ் அணி வயிறு இரிய அமரரைப்,"Body possessing head row petal ornament stomach scatter celestials",தலை,HEAD_LEADER,"Head; also leader"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",உடுவுறு தலை நிரை இதழ் அணி வயிறு இரிய அமரரைப்,"Body possessing head row petal ornament stomach scatter celestials",நிரை,ROW_LINE,"Row, line"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",உடுவுறு தலை நிரை இதழ் அணி வயிறு இரிய அமரரைப்,"Body possessing head row petal ornament stomach scatter celestials",இதழ்,PETAL_LEAF,"Petal, leaf"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",உடுவுறு தலை நிரை இதழ் அணி வயிறு இரிய அமரரைப்,"Body possessing head row petal ornament stomach scatter celestials",அணி,ORNAMENT_DECORATION,"Ornament"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",உடுவுறு தலை நிரை இதழ் அணி வயிறு இரிய அமரரைப்,"Body possessing head row petal ornament stomach scatter celestials",வயிறு,STOMACH_BELLY,"Stomach, belly"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",உடுவுறு தலை நிரை இதழ் அணி வயிறு இரிய அமரரைப்,"Body possessing head row petal ornament stomach scatter celestials",இரிய,VERB_SCATTER,"Scatter, disperse; verb"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",உடுவுறு தலை நிரை இதழ் அணி வயிறு இரிய அமரரைப்,"Body possessing head row petal ornament stomach scatter celestials",அமரரைப்,CELESTIALS_ACCUSATIVE,"Celestials, gods; accusative case"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",போர் எழுந்து உடன்று இரைத்து உரைஇய தானவர்,"War arose, enraged, roared, spoke the demons",போர்,WAR_BATTLE,"War, battle"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",போர் எழுந்து உடன்று இரைத்து உரைஇய தானவர்,"War arose, enraged, roared, spoke the demons",எழுந்து,VERB_AROSE,"Arose, rose up; past tense"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",போர் எழுந்து உடன்று இரைத்து உரைஇய தானவர்,"War arose, enraged, roared, spoke the demons",உடன்று,VERB_ENRAGED,"Enraged, angry; past participle"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",போர் எழுந்து உடன்று இரைத்து உரைஇய தானவர்,"War arose, enraged, roared, spoke the demons",இரைத்து,VERB_ROARED,"Roared, thundered; past tense"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",போர் எழுந்து உடன்று இரைத்து உரைஇய தானவர்,"War arose, enraged, roared, spoke the demons",உரைஇய,VERB_SPOKE,"Spoke, uttered; past participle"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",போர் எழுந்து உடன்று இரைத்து உரைஇய தானவர்,"War arose, enraged, roared, spoke the demons",தானவர்,DEMONS_ASURAS,"Demons, Asuras; mythical beings"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",சிரம் உமிழ் புனல் பொழி பு இழிந்து உரம்,"Head vomiting water pouring down strength",சிரம்,HEAD_SKULL,"Head, skull"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",சிரம் உமிழ் புனல் பொழி பு இழிந்து உரம்,"Head vomiting water pouring down strength",உமிழ்,VERB_VOMIT,"Vomit, spew; verb"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",சிரம் உமிழ் புனல் பொழி பு இழிந்து உரம்,"Head vomiting water pouring down strength",புனல்,WATER_STREAM,"Water, stream"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",சிரம் உமிழ் புனல் பொழி பு இழிந்து உரம்,"Head vomiting water pouring down strength",பொழி,VERB_POUR,"Pour, shower; verb"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",சிரம் உமிழ் புனல் பொழி பு இழிந்து உரம்,"Head vomiting water pouring down strength",பு,GRAMMAR_SUFFIX,"Grammatical suffix; uncertain meaning"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",சிரம் உமிழ் புனல் பொழி பு இழிந்து உரம்,"Head vomiting water pouring down strength",இழிந்து,VERB_DESCENDED,"Descended, went down; past tense"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",சிரம் உமிழ் புனல் பொழி பு இழிந்து உரம்,"Head vomiting water pouring down strength",உரம்,STRENGTH_POWER,"Strength, power"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",உதிர்பு அதிர்பு அலம் தொடா அமர் வென்ற கணை,"Shedding shaking unable to touch battle conquering arrow",உதிர்பு,VERB_SHEDDING,"Shedding, dropping; present participle"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",உதிர்பு அதிர்பு அலம் தொடா அமர் வென்ற கணை,"Shedding shaking unable to touch battle conquering arrow",அதிர்பு,VERB_SHAKING,"Shaking, trembling; present participle"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",உதிர்பு அதிர்பு அலம் தொடா அமர் வென்ற கணை,"Shedding shaking unable to touch battle conquering arrow",அலம்,INABILITY_UNABLE,"Unable, incapable"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",உதிர்பு அதிர்பு அலம் தொடா அமர் வென்ற கணை,"Shedding shaking unable to touch battle conquering arrow",தொடா,VERB_TOUCH_NEGATIVE,"Not touch; negative form of 'touch'"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",உதிர்பு அதிர்பு அலம் தொடா அமர் வென்ற கணை,"Shedding shaking unable to touch battle conquering arrow",அமர்,BATTLE_WAR,"Battle"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",உதிர்பு அதிர்பு அலம் தொடா அமர் வென்ற கணை,"Shedding shaking unable to touch battle conquering arrow",வென்ற,VERB_CONQUERED,"Conquered; past participle"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",உதிர்பு அதிர்பு அலம் தொடா அமர் வென்ற கணை,"Shedding shaking unable to touch battle conquering arrow",கணை,WEAPON_ARROW,"Arrow"
"Poem 2: Hymn to Lord Vishnu describing his cosmic cycles, incarnations, and divine manifestations",திருமாலின் பெருமை,The greatness of Vishnu,திருமாலின்,GOD_VISHNU_GENITIVE,"Of Vishnu; genitive case"
"Poem 2: Hymn to Lord Vishnu describing his cosmic cycles, incarnations, and divine manifestations",திருமாலின் பெருமை,The greatness of Vishnu,பெருமை,GREATNESS_MAJESTY,"Greatness, majesty"
"Poem 2: Hymn to Lord Vishnu describing his cosmic cycles, incarnations, and divine manifestations",ஊழிகளின் தோற்றம்,The appearance of cosmic eras,ஊழிகளின்,COSMICERA_GENITIVE,"Of cosmic eras; genitive plural"
"Poem 2: Hymn to Lord Vishnu describing his cosmic cycles, incarnations, and divine manifestations",ஊழிகளின் தோற்றம்,The appearance of cosmic eras,தோற்றம்,APPEARANCE_MANIFESTATION,"Appearance, manifestation"
"Poem 2: Hymn to Lord Vishnu describing his cosmic cycles, incarnations, and divine manifestations",தொல் முறை இயற்கையின் மதியொ,"Ancient order of nature's intelligence",தொல்,ANCIENT_OLD,"Ancient, old"
"Poem 2: Hymn to Lord Vishnu describing his cosmic cycles, incarnations, and divine manifestations",தொல் முறை இயற்கையின் மதியொ,"Ancient order of nature's intelligence",முறை,ORDER_SYSTEM,"Order, system"
"Poem 2: Hymn to Lord Vishnu describing his cosmic cycles, incarnations, and divine manifestations",தொல் முறை இயற்கையின் மதியொ,"Ancient order of nature's intelligence",இயற்கையின்,NATURE_GENITIVE,"Of nature; genitive case"
"Poem 2: Hymn to Lord Vishnu describing his cosmic cycles, incarnations, and divine manifestations",தொல் முறை இயற்கையின் மதியொ,"Ancient order of nature's intelligence",மதியொ,INTELLIGENCE_WISDOM,"Intelligence, wisdom; possibly incomplete"
"Poem 2: Hymn to Lord Vishnu describing his cosmic cycles, incarnations, and divine manifestations",... ..... ... மரபிற்று ஆக,"... tradition it is",...,TEXT_MISSING,"Missing text in manuscript"
"Poem 2: Hymn to Lord Vishnu describing his cosmic cycles, incarnations, and divine manifestations",... ..... ... மரபிற்று ஆக,"... tradition it is",மரபிற்று,TRADITION_CUSTOM,"Tradition, custom; locative/emphatic"
"Poem 2: Hymn to Lord Vishnu describing his cosmic cycles, incarnations, and divine manifestations",... ..... ... மரபிற்று ஆக,"... tradition it is",ஆக,VERB_IS,"Is, becomes; copula verb"
"Poem 2: Hymn to Lord Vishnu describing his cosmic cycles, incarnations, and divine manifestations",பசும் பொன்னுலகமும் மண்ணும் பாழ்பட,"Green golden world and earth become ruined",பசும்,GREEN_FRESH,"Green, fresh"
"Poem 2: Hymn to Lord Vishnu describing his cosmic cycles, incarnations, and divine manifestations",பசும் பொன்னுலகமும் மண்ணும் பாழ்பட,"Green golden world and earth become ruined",பொன்னுலகமும்,GOLDENWORLD_CONJ,"Golden world; with conjunction suffix"
"Poem 2: Hymn to Lord Vishnu describing his cosmic cycles, incarnations, and divine manifestations",பசும் பொன்னுலகமும் மண்ணும் பாழ்பட,"Green golden world and earth become ruined",மண்ணும்,EARTH_CONJ,"Earth; with conjunction suffix"
"Poem 2: Hymn to Lord Vishnu describing his cosmic cycles, incarnations, and divine manifestations",பசும் பொன்னுலகமும் மண்ணும் பாழ்பட,"Green golden world and earth become ruined",பாழ்பட,VERB_BECOMERUINED,"Become ruined, destroyed; verb"
"Poem 2: Hymn to Lord Vishnu describing his cosmic cycles, incarnations, and divine manifestations",விசும்பில் ஊழி ஊழ்ஊழ் செல்லக்,"In sky era era-era going",விசும்பில்,SKY_HEAVEN_LOCATIVE,"In the sky/heaven; locative case"
"Poem 2: Hymn to Lord Vishnu describing his cosmic cycles, incarnations, and divine manifestations",விசும்பில் ஊழி ஊழ்ஊழ் செல்லக்,"In sky era era-era going",ஊழி,COSMICERA_AGE,"Cosmic era, age"
"Poem 2: Hymn to Lord Vishnu describing his cosmic cycles, incarnations, and divine manifestations",விசும்பில் ஊழி ஊழ்ஊழ் செல்லக்,"In sky era era-era going",ஊழ்ஊழ்,ERA_SUPERERA,"Era of eras, super-era; compound"
"Poem 2: Hymn to Lord Vishnu describing his cosmic cycles, incarnations, and divine manifestations",விசும்பில் ஊழி ஊழ்ஊழ் செல்லக்,"In sky era era-era going",செல்லக்,GOING_ADVERBIAL,"Going; adverbial participle"
"Poem 2: Hymn to Lord Vishnu describing his cosmic cycles, incarnations, and divine manifestations",கருவளர் வானத்து இசையின் தோன்றி,"Embryo growing in sky from sound appearing",கருவளர்,EMBRYO_GROWING,"Embryo growing; compound"
"Poem 2: Hymn to Lord Vishnu describing his cosmic cycles, incarnations, and divine manifestations",கருவளர் வானத்து இசையின் தோன்றி,"Embryo growing in sky from sound appearing",வானத்து,SKY_LOCATIVE,"In sky; locative case"
"Poem 2: Hymn to Lord Vishnu describing his cosmic cycles, incarnations, and divine manifestations",கருவளர் வானத்து இசையின் தோன்றி,"Embryo growing in sky from sound appearing",இசையின்,SOUND_GENITIVE,"From sound; ablative/genitive"
"Poem 2: Hymn to Lord Vishnu describing his cosmic cycles, incarnations, and divine manifestations",கருவளர் வானத்து இசையின் தோன்றி,"Embryo growing in sky from sound appearing",தோன்றி,VERB_APPEARING,"Appearing; present participle"
"Poem 2: Hymn to Lord Vishnu describing his cosmic cycles, incarnations, and divine manifestations",உரு அறிவாரா ஒன்றன் ஊழியும்,"Form unknowable one's era also",உரு,FORM_SHAPE,"Form, shape"
"Poem 2: Hymn to Lord Vishnu describing his cosmic cycles, incarnations, and divine manifestations",உரு அறிவாரா ஒன்றன் ஊழியும்,"Form unknowable one's era also",அறிவாரா,UNKNOWABLE_UNKNOWN,"Unknowable, unknown; negative form"
"Poem 2: Hymn to Lord Vishnu describing his cosmic cycles, incarnations, and divine manifestations",உரு அறிவாரா ஒன்றன் ஊழியும்,"Form unknowable one's era also",ஒன்றன்,ONE_GENITIVE,"Of one; genitive case"
"Poem 2: Hymn to Lord Vishnu describing his cosmic cycles, incarnations, and divine manifestations",உரு அறிவாரா ஒன்றன் ஊழியும்,"Form unknowable one's era also",ஊழியும்,ERA_CONJ,"Era; with conjunction suffix"
"Poem 2: Hymn to Lord Vishnu describing his cosmic cycles, incarnations, and divine manifestations",உந்து வளி கிளர்ந்த ஊழ்ஊழ் ஊழியும்,"Pushing wind stirred era-era era also",உந்து,VERB_PUSHING,"Pushing, propelling; present participle"
"Poem 2: Hymn to Lord Vishnu describing his cosmic cycles, incarnations, and divine manifestations",உந்து வளி கிளர்ந்த ஊழ்ஊழ் ஊழியும்,"Pushing wind stirred era-era era also",வளி,WIND_AIR,"Wind, air"
"Poem 2: Hymn to Lord Vishnu describing his cosmic cycles, incarnations, and divine manifestations",உந்து வளி கிளர்ந்த ஊழ்ஊழ் ஊழியும்,"Pushing wind stirred era-era era also",கிளர்ந்த,VERB_STIRRED,"Stirred, agitated; past participle"
"Poem 2: Hymn to Lord Vishnu describing his cosmic cycles, incarnations, and divine manifestations",உந்து வளி கிளர்ந்த ஊழ்ஊழ் ஊழியும்,"Pushing wind stirred era-era era also",ஊழ்ஊழ்,SUPERERA_COMPOUND,"Super-era; compound of eras"
"Poem 2: Hymn to Lord Vishnu describing his cosmic cycles, incarnations, and divine manifestations",உந்து வளி கிளர்ந்த ஊழ்ஊழ் ஊழியும்,"Pushing wind stirred era-era era also",ஊழியும்,ERA_CONJ,"Era; with conjunction"
"Poem 2: Hymn to Lord Vishnu describing his cosmic cycles, incarnations, and divine manifestations",செந்தீச் சுடரிய ஊழியும் பனியொடு,"Red fire flaming era also with frost",செந்தீச்,REDFIRE_GENITIVE,"Of red fire; genitive case"
"Poem 2: Hymn to Lord Vishnu describing his cosmic cycles, incarnations, and divine manifestations",செந்தீச் சுடரிய ஊழியும் பனியொடு,"Red fire flaming era also with frost",சுடரிய,FLAMING_BURNING,"Flaming, burning; adjectival"
"Poem 2: Hymn to Lord Vishnu describing his cosmic cycles, incarnations, and divine manifestations",செந்தீச் சுடரிய ஊழியும் பனியொடு,"Red fire flaming era also with frost",ஊழியும்,ERA_CONJ,"Era; with conjunction"
"Poem 2: Hymn to Lord Vishnu describing his cosmic cycles, incarnations, and divine manifestations",செந்தீச் சுடரிய ஊழியும் பனியொடு,"Red fire flaming era also with frost",பனியொடு,FROST_WITH,"With frost; comitative case"
"Poem 2: Hymn to Lord Vishnu describing his cosmic cycles, incarnations, and divine manifestations",தண்பெயல் தலைஇய ஊழியும் அவையிற்று,"Cool rain beginning era also those among",தண்பெயல்,COOLRAIN_COMPOUND,"Cool rain; compound"
"Poem 2: Hymn to Lord Vishnu describing his cosmic cycles, incarnations, and divine manifestations",தண்பெயல் தலைஇய ஊழியும் அவையிற்று,"Cool rain beginning era also those among",தலைஇய,BEGINNING_STARTING,"Beginning, starting; adjectival"
"Poem 2: Hymn to Lord Vishnu describing his cosmic cycles, incarnations, and divine manifestations",தண்பெயல் தலைஇய ஊழியும் அவையிற்று,"Cool rain beginning era also those among",ஊழியும்,ERA_CONJ,"Era; with conjunction"
"Poem 2: Hymn to Lord Vishnu describing his cosmic cycles, incarnations, and divine manifestations",தண்பெயல் தலைஇய ஊழியும் அவையிற்று,"Cool rain beginning era also those among",அவையிற்று,THOSE_AMONG,"Among those; locative plural"
"Poem 2: Hymn to Lord Vishnu describing his cosmic cycles, incarnations, and divine manifestations",உள் முறை வெள்ளம் மூழ்கி ஆர்தருபு,"Inner order flood submerging enjoying",உள்,INSIDE_INNER,"Inside, inner"
"Poem 2: Hymn to Lord Vishnu describing his cosmic cycles, incarnations, and divine manifestations",உள் முறை வெள்ளம் மூழ்கி ஆர்தருபு,"Inner order flood submerging enjoying",முறை,ORDER_SYSTEM,"Order, system"
"Poem 2: Hymn to Lord Vishnu describing his cosmic cycles, incarnations, and divine manifestations",உள் முறை வெள்ளம் மூழ்கி ஆர்தருபு,"Inner order flood submerging enjoying",வெள்ளம்,FLOOD_DELUGE,"Flood, deluge"
"Poem 2: Hymn to Lord Vishnu describing his cosmic cycles, incarnations, and divine manifestations",உள் முறை வெள்ளம் மூழ்கி ஆர்தருபு,"Inner order flood submerging enjoying",மூழ்கி,VERB_SUBMERGING,"Submerging, sinking; present participle"
"Poem 2: Hymn to Lord Vishnu describing his cosmic cycles, incarnations, and divine manifestations",உள் முறை வெள்ளம் மூழ்கி ஆர்தருபு,"Inner order flood submerging enjoying",ஆர்தருபு,ENJOYING_REVELING,"Enjoying, reveling; present participle"
"Poem 2: Hymn to Lord Vishnu describing his cosmic cycles, incarnations, and divine manifestations",மீண்டும் பீடு உயர்பு ஈண்டி அவற்றிற்கும்,"Again dignity rising gathering for those also",மீண்டும்,AGAIN_ONCEMORE,"Again, once more"
"Poem 2: Hymn to Lord Vishnu describing his cosmic cycles, incarnations, and divine manifestations",மீண்டும் பீடு உயர்பு ஈண்டி அவற்றிற்கும்,"Again dignity rising gathering for those also",பீடு,DIGNITY_HONOR,"Dignity, honor"
"Poem 2: Hymn to Lord Vishnu describing his cosmic cycles, incarnations, and divine manifestations",மீண்டும் பீடு உயர்பு ஈண்டி அவற்றிற்கும்,"Again dignity rising gathering for those also",உயர்பு,RISING_ELEVATING,"Rising, elevating; verbal noun"
"Poem 2: Hymn to Lord Vishnu describing his cosmic cycles, incarnations, and divine manifestations",மீண்டும் பீடு உயர்பு ஈண்டி அவற்றிற்கும்,"Again dignity rising gathering for those also",ஈண்டி,GATHERING_ASSEMBLING,"Gathering, assembling; present participle"
"Poem 2: Hymn to Lord Vishnu describing his divine manifestations and cosmic supremacy",மாயோய் நின்வயின் பரந்தவை உரைத்தேம்,"O illusory one, in your presence we spoke of those that spread",மாயோய்,DIVINE_ADDRESS_ILLUSORY,"O illusory one; addressing Vishnu's maya aspect"
"Poem 2: Hymn to Lord Vishnu describing his divine manifestations and cosmic supremacy",மாயோய் நின்வயின் பரந்தவை உரைத்தேம்,"O illusory one, in your presence we spoke of those that spread",நின்வயின்,YOUR_PRESENCE,"In your presence; locative form"
"Poem 2: Hymn to Lord Vishnu describing his divine manifestations and cosmic supremacy",மாயோய் நின்வயின் பரந்தவை உரைத்தேம்,"O illusory one, in your presence we spoke of those that spread",பரந்தவை,SPREAD_THINGS,"Those that spread; past participle"
"Poem 2: Hymn to Lord Vishnu describing his divine manifestations and cosmic supremacy",மாயோய் நின்வயின் பரந்தவை உரைத்தேம்,"O illusory one, in your presence we spoke of those that spread",உரைத்தேம்,VERB_SPOKE_WE,"We spoke; past tense first person plural"
"Poem 2: Hymn to Lord Vishnu describing his divine manifestations and cosmic supremacy",மாயா வாய்மொழி உரைதர வலந்து,"Illusionless truthful words giving speech conquering",மாயா,ILLUSIONLESS_TRUTHFUL,"Without illusion, truthful"
"Poem 2: Hymn to Lord Vishnu describing his divine manifestations and cosmic supremacy",மாயா வாய்மொழி உரைதர வலந்து,"Illusionless truthful words giving speech conquering",வாய்மொழி,TRUTHFULWORDS,"Truthful words; compound"
"Poem 2: Hymn to Lord Vishnu describing his divine manifestations and cosmic supremacy",மாயா வாய்மொழி உரைதர வலந்து,"Illusionless truthful words giving speech conquering",உரைதர,SPEECH_GIVING,"Speech giving; compound verb"
"Poem 2: Hymn to Lord Vishnu describing his divine manifestations and cosmic supremacy",மாயா வாய்மொழி உரைதர வலந்து,"Illusionless truthful words giving speech conquering",வலந்து,CONQUERING_OVERCOMING,"Conquering, overcoming; present participle"
"Poem 2: Hymn to Lord Vishnu describing his divine manifestations and cosmic supremacy",வாய்மொழி ஓடை மலர்ந்த,"Truthful words stream blossomed",வாய்மொழி,TRUTHFULWORDS,"Truthful words"
"Poem 2: Hymn to Lord Vishnu describing his divine manifestations and cosmic supremacy",வாய்மொழி ஓடை மலர்ந்த,"Truthful words stream blossomed",ஓடை,STREAM_FLOW,"Stream, flow"
"Poem 2: Hymn to Lord Vishnu describing his divine manifestations and cosmic supremacy",வாய்மொழி ஓடை மலர்ந்த,"Truthful words stream blossomed",மலர்ந்த,BLOOMED_FLOWERED,"Bloomed, flowered; past participle"
"Poem 2: Hymn to Lord Vishnu describing his divine manifestations and cosmic supremacy",தாமரைப் பூவினுள் பிறந்தோனும் தாதையும்,"The one born in lotus flower and the father",தாமரைப்,LOTUS_GENITIVE,"Of lotus; genitive case"
"Poem 2: Hymn to Lord Vishnu describing his divine manifestations and cosmic supremacy",தாமரைப் பூவினுள் பிறந்தோனும் தாதையும்,"The one born in lotus flower and the father",பூவினுள்,FLOWER_INSIDE,"Inside flower; locative case"
"Poem 2: Hymn to Lord Vishnu describing his divine manifestations and cosmic supremacy",தாமரைப் பூவினுள் பிறந்தோனும் தாதையும்,"The one born in lotus flower and the father",பிறந்தோனும்,BORNONE_CONJ,"The born one; with conjunction"
"Poem 2: Hymn to Lord Vishnu describing his divine manifestations and cosmic supremacy",தாமரைப் பூவினுள் பிறந்தோனும் தாதையும்,"The one born in lotus flower and the father",தாதையும்,FATHER_CONJ,"Father; with conjunction"
"Poem 2: Hymn to Lord Vishnu describing his divine manifestations and cosmic supremacy",நீ என பொழியுமால் அந்தணர் அருமறை,"You are, rains, the Brahmins' profound mystery",நீ,YOU_PRONOUN,"You; second person pronoun"
"Poem 2: Hymn to Lord Vishnu describing his divine manifestations and cosmic supremacy",நீ என பொழியுமால் அந்தணர் அருமறை,"You are, rains, the Brahmins' profound mystery",என,AS_LIKE,"As, like; comparative"
"Poem 2: Hymn to Lord Vishnu describing his divine manifestations and cosmic supremacy",நீ என பொழியுமால் அந்தணர் அருமறை,"You are, rains, the Brahmins' profound mystery",பொழியுமால்,RAINS_VERB,"Rains; verb with modal suffix"
"Poem 2: Hymn to Lord Vishnu describing his divine manifestations and cosmic supremacy",நீ என பொழியுமால் அந்தணர் அருமறை,"You are, rains, the Brahmins' profound mystery",அந்தணர்,BRAHMINS_PRIESTS,"Brahmins, priests"
"Poem 2: Hymn to Lord Vishnu describing his divine manifestations and cosmic supremacy",நீ என பொழியுமால் அந்தணர் அருமறை,"You are, rains, the Brahmins' profound mystery",அருமறை,PROFOUNDMYSTERY,"Profound mystery; secret knowledge"
"Poem 2: Hymn to Lord Vishnu describing his divine manifestations and cosmic supremacy",முனிவரும் தேவரும் பாடும் வகை,"The way sages and gods sing",முனிவரும்,SAGES_CONJ,"Sages; with conjunction"
"Poem 2: Hymn to Lord Vishnu describing his divine manifestations and cosmic supremacy",முனிவரும் தேவரும் பாடும் வகை,"The way sages and gods sing",தேவரும்,GODS_CONJ,"Gods; with conjunction"
"Poem 2: Hymn to Lord Vishnu describing his divine manifestations and cosmic supremacy",முனிவரும் தேவரும் பாடும் வகை,"The way sages and gods sing",பாடும்,SING_PRESENT,"Sing; present tense verb"
"Poem 2: Hymn to Lord Vishnu describing his divine manifestations and cosmic supremacy",முனிவரும் தேவரும் பாடும் வகை,"The way sages and gods sing",வகை,WAY_MANNER,"Way, manner"
"Poem 2: Hymn to Lord Vishnu describing his divine manifestations and cosmic supremacy",ஏஎர் வயங்கு பூண் அமரரை வௌவிய அமிழ்தின்,"Beautiful shining ornament celestials stealing nectar",ஏஎர்,BEAUTIFUL_LOVELY,"Beautiful, lovely"
"Poem 2: Hymn to Lord Vishnu describing his divine manifestations and cosmic supremacy",ஏஎர் வயங்கு பூண் அமரரை வௌவிய அமிழ்தின்,"Beautiful shining ornament celestials stealing nectar",வயங்கு,SHINING_RADIANT,"Shining, radiant"
