சேம்பின்,PLANT,taro plant's
அலங்கல்,O,adjective meaning moving
வள்,O,adjective meaning thick
இலை,PLANT,leaves
பெருங்களிற்றுச்,ANIMAL,of big male elephants
செவியின்,ANIMAL,like the ears
மான,O,comparison word
தைஇ,O,verb meaning caressing
தண்,NATURE,cool
வரல்,NATURE,arriving
வாடை,NATURE,northerly winds
தூக்கும்,O,verb meaning it moves
கடும்,NATURE,harsh
பனி,NATURE,cold
அச்சிரம்,NATURE,early dew season
நடுங்கு,O,verb meaning trembling
அஞர்,O,noun meaning sorrow
உறவே,O,verb meaning to attain
**Poem 77**,,
அம்ம,O,particle meaning listen to me
வாழி,O,expletive particle
தோழி,PERSON,O friend
யாவதும்,O,adverb meaning even a little bit
தவறு,O,noun meaning fault
எனின்,O,conjunction meaning if blamed
தவறோ,O,noun meaning fault
இலவே,O,verb meaning it is not
வெஞ்சுரத்து,DESERT,on the harsh wasteland path
உலந்த,O,verb meaning died
வம்பலர்,PERSON,wayfarers
உவல்,PLANT,leaves
இடு,O,verb meaning covering
பதுக்கை,STRUCTURE,piles of stones and leaves
நெடு,O,adjective meaning tall
நல்,O,adjective meaning fine
யானைக்கு,ANIMAL,to the elephant
இடு,O,verb meaning they have become
நிழலாகும்,NATURE,shade
அரிய,O,adjective meaning harsh
கானம்,FOREST,forest
சென்றோர்க்கு,PERSON,for the man who went
எளியவாகிய,O,verb meaning they became thin
தட,O,adjective meaning curved
மென்தோள்,O,delicate arms
ஏ,O,expletive particle
**Poem 78**,,
பெருவரை,MOUNTAIN,lofty mountains
மிசையது,MOUNTAIN,above
நெடு,WATERBODY,tall
வெள்,WATERBODY,white
அருவி,WATERBODY,waterfalls
முதுவாய்க்,PROFESSION,wise
கோடியர்,PROFESSION,artists or dancers
முழவின்,OBJECT,like drums
ததும்பி,O,verb meaning roaring
சிலம்பின்,MOUNTAIN,mountain slopes
இழிதரும்,O,verb meaning they come down
இலங்கு,O,adjective meaning splendid
மலை,MOUNTAIN,mountains
வெற்ப,PERSON,O lord of the mountains
நோதக்கன்று,O,adjective meaning it is painful
ஏ,O,expletive particle
காமம்,O,love
யாவதும்,O,adverb meaning even a little bit
நன்றென,O,adjective meaning that it is good
உணரார்,PERSON,with those who don't know
மாட்டும்,O,with
சென்று,O,verb meaning it goes
ஏ,O,expletive particle
நிற்கும்,O,verb meaning it stays
பெரும்,O,adjective meaning very
பேதைமைத்தே,O,adjective meaning ignorant
**Poem 79**,,
கான,FOREST,forest
யானை,ANIMAL,elephant
தோல்,PLANT,bark
நயந்து,O,verb meaning desired
உண்ட,O,verb meaning ate
பொரி,O,adjective meaning rough
தாள்,PLANT,trunks
ஓமை,PLANT,omai trees
வளி,NATURE,wind
பொரு,O,verb meaning blowing
நெடுஞ்சினை,PLANT,tall branches
அலங்கல்,O,adjective meaning moving
உலவை,PLANT,dry tree
ஏறி,O,verb meaning climbing on
ஒய்யென,O,adverb meaning rapidly
புலம்புதரு,O,adjective meaning painful
குரல,NATURE,sounds
புறவு,BIRD,male pigeon
பெடை,BIRD,female pigeon
பயிரும்,O,verb meaning calling
அத்தம்,DESERT,wasteland
நண்ணிய,PLACE,existing in
அம்,O,adjective meaning beautiful
குடிச்,STRUCTURE,settlements
சீறூர்,STRUCTURE,small village
சேந்தனர்,O,verb meaning does he stay there
கொல்,O,particle implying doubt
ஓ,O,expletive particle
தாமே,O,expletive particle
யாம்,O,pronoun meaning I
தமக்கு,O,pronoun meaning to his
ஒல்லேம்,O,verb meaning I would not agree
என்ற,O,conjunction meaning that
தப்பற்கு,O,for the mistake
சொல்லாது,O,verb meaning not telling
அகறல்,O,verb meaning leaving
வல்லுவோரே,PERSON,the man who was capable of
**Poem 80**,,
கூந்தல்,O,hair
ஆம்பல்,FLOWER,white waterlilies
முழு,O,adjective meaning full
நெறி,FLOWER,flowers after removing sepals
அடைச்சி,O,verb meaning wearing
பெரும்,WATERBODY,huge
புனல்,WATERBODY,floods
வந்த,O,verb meaning came
இருந்துறை,STRUCTURE,big port
விரும்பி,O,verb meaning desiring
யாம்,O,pronoun meaning I
அஃது,O,pronoun meaning there
அயர்கம்,O,verb meaning I will play
சேறும்,O,verb meaning I will go
தான்,O,pronoun meaning she
அஃது,O,pronoun meaning that
அஞ்சுவது,O,verb meaning if she is afraid
உடையள்,O,verb meaning having
ஆயின்,O,conjunction meaning if
வெம்போர்,WARFARE,harsh battles
நுகம்பட,O,adverb meaning in a just manner
கடக்கும்,WARRIOR,wins
பல்,O,adjective meaning many
வேல்,WEAPON,spears
எழினி,WARRIOR,Ezhini with many spears
முனை,WARFARE,battlefield
ஆன்,ANIMAL,cows
பெரு,O,adjective meaning big
நிரை,ANIMAL,herds
போல,O,like
கிளையொடும்,PERSON,along with her relatives
காக்க,O,verb meaning let her protect
தன்,O,pronoun meaning her
கொழுநன்,PERSON,husband's
மார்பே,O,chest
Word,Entity,Explanation
**Poem 81**,,
இவளே,PERSON,she
நின்,O,pronoun meaning your
சொல்,O,words
கொண்ட,O,verb meaning trusting
என்,O,pronoun meaning my
சொல்,O,words
தேறி,O,verb meaning trusting
பசு,O,adjective meaning fresh
நனை,FLOWER,buds
ஞாழல்,FLOWER,cassia trees
பல்,O,adjective meaning many
சினை,PLANT,branches
ஒரு,O,adjective meaning one
சிறை,PLACE,on one side
புது,O,adjective meaning new
நலன்,O,virtue
இழந்த,O,verb meaning lost
புலம்புமார்,O,noun meaning lonely young woman
உடையள்,O,verb meaning she is
உதுக்காண்,O,look there
தெய்ய,O,expletive particle
உள்ளல்,O,verb meaning think about her
வேண்டும்,O,verb meaning need to
நிலவும்,NATURE,moon
இருளும்,NATURE,darkness
போல,O,like
புலவுத்,FISH,fish-stinking
திரைக்,WATERBODY,waves
கடலும்,WATERBODY,the ocean
கானலும்,FOREST,seashore groves
தோன்றும்,O,verb meaning appearing
மடல்,PLANT,palmyra fronds
தாழ்,O,verb meaning hang low
பெண்ணை,PLANT,female palmyra tree
எம்,O,pronoun meaning our
சிறு,O,adjective meaning small
நல்லூரே,STRUCTURE,fine village
**Poem 82**,,
வார்,O,noun meaning length
உறு,O,adjective meaning having
வணர்,O,adjective meaning wavy
கதுப்பு,O,hair
உளரி,O,verb meaning run fingers through
புறம்,O,back
சேர்பு,O,verb meaning standing behind
அழாஅல்,O,verb meaning do not cry
என்று,O,conjunction meaning he said
நம்,O,pronoun meaning my
அழுத,O,verb meaning crying
கண்,O,eyes
துடைப்பார்,O,verb meaning he used to wipe
யார்,O,pronoun meaning what
ஆகுவர்,O,verb meaning will become of him
கொல்,O,particle implying doubt
தோழி,PERSON,my friend
சாரல்,MOUNTAIN,mountain slopes
பெரும்,O,adjective meaning big
புனக்,FIELD,fields
குறவன்,PERSON,mountain dweller
சிறு,FOOD,tiny
தினை,FOOD,millet
மறுகால்,O,second yield from new branches
கொழுங்கொடி,PLANT,thick creepers
அவரை,FLOWER,avarai flowers
பூக்கும்,O,verb meaning bloom
அரும்பனி,NATURE,harsh
அச்சிரம்,NATURE,early dew season
வாராதோரே,PERSON,the one who has not come
**Poem 83**,,
அரும்,O,adjective meaning rare
பெறல்,O,verb meaning to obtain
அமிழ்தம்,FOOD,ambrosia or nectar
ஆர்பதம்,FOOD,as her food
ஆக,O,verb meaning may it be
பெரும்,O,adjective meaning very famous
பெயர்,O,adjective meaning famous
உலகம்,STRUCTURE,the upper world
பெறீஇயர்,O,verb meaning may she get
ஓ,O,expletive particle
அன்னை,PERSON,mother
தம்,O,pronoun meaning their
இல்,STRUCTURE,from their own house
தமது,O,pronoun meaning their own
உண்டன்ன,O,like eating what one has earned
சினைதொறும்,PLANT,in every branch
தீம்பழம்,FRUIT,sweet fruits
தூங்கும்,O,verb meaning are hanging
பலவின்,FRUIT,with jackfruit trees
ஓங்கு,O,adjective meaning lofty
மலை,MOUNTAIN,mountain
நாடனை,PERSON,the man from the mountain country
வரும்,O,verb meaning he will come
என்றோள்,O,verb meaning she said that
**Poem 84**,,
பெயர்த்தனென்,O,verb meaning when I embraced her moving her toward me
முயங்க,O,verb meaning embracing
யான்,O,pronoun meaning I
வியர்த்தனென்,O,verb meaning that I smell of sweat
என்றனள்,O,verb meaning she said
இனி,O,adverb meaning now
அறிந்தேன்,O,verb meaning I understand
அது,O,pronoun meaning that
துனி,O,noun meaning hated it
ஆகுதலே,O,verb meaning why
கழல்,OBJECT,whirling bracelets
தொடி,OBJECT,bangles
ஆய்,KING,king Ay
மழை,NATURE,clouds
தவழ்,O,verb meaning spreading
பொதியில்,MOUNTAIN,Pothiyil Mountain
வேங்கையும்,FLOWER,Indian kino tree flowers
காந்தளும்,FLOWER,glory lily
நாறி,O,verb meaning is fragrant
ஆம்பல்,FLOWER,white waterlily
மலரினும்,FLOWER,blossoms
தான்,O,expletive particle
தண்ணியளே,O,adjective meaning she is cooler
**Poem 85**,,
யாரினும்,O,than others
இனியன்,PERSON,he is sweeter
பேரன்பினன்,PERSON,he is very kind
ஏ,O,expletive particle
உள்ளூர்க்,BIRD,sparrow in town
குரீஇ,BIRD,sparrow
துள்ளு,O,adjective meaning hopping
நடை,O,gait
சேவல்,BIRD,a male sparrow
சூன்,O,pregnancy
முதிர்,O,adjective meaning fully pregnant
பேடைக்கு,BIRD,for the female
ஈன்,O,verb meaning to lay
இல்,STRUCTURE,nest
இழைஇயர்,O,verb meaning to build
தேம்,FOOD,sweetness filled
பொதிக்,O,with honeycombs
கொண்ட,O,adjective meaning having
தீங்கழைக்,PLANT,sweet
கரும்பின்,PLANT,sugarcane
நாறா,O,adjective meaning with no fragrance
வெண்பூ,FLOWER,white flowers
கொழுதும்,O,verb meaning it plucks
யாண,STRUCTURE,prosperous
ஊரன்,PERSON,the man from the prosperous town
பாணன்,PROFESSION,bard
வாய்,O,his words
ஏ,O,expletive particle
**Poem 86**,,
சிறை,O,blocked
பனி,NATURE,tears
உடைந்த,O,verb meaning dropped
சேயரி,O,red lines
மழைக்,O,moist
கண்,O,eyes
பொறை,O,adjective meaning difficult
அரு,O,adjective meaning difficult
நோயொடு,O,with love disease
புலம்பு,O,sorrow of loneliness
அலைக்,O,verb meaning distressed
கலங்கி,O,verb meaning distressed
பிறரும்,PERSON,others
கேட்குநர்,PERSON,who will hear
உளர்,O,verb meaning are there
கொல்,O,particle implying doubt
உறை,NATURE,heavy rains
சிறந்து,O,verb meaning exceeding
ஊதை,NATURE,northerly winds
தூற்றும்,O,verb meaning with spray
கூதிர்,NATURE,cold season
யாமத்து,NATURE,night
ஆன்,ANIMAL,cow
நுளம்பு,INSECT,flies
உலம்புதொறு,O,whenever they buzz
உளம்பும்,O,verb meaning cows shake heads
நா,O,clappers
நவில்,O,verb meaning ringing
கொடு,O,adjective meaning curved
மணி,OBJECT,bells
நல்கூர்,O,adjective meaning soft
குரலே,O,sounds
**Poem 87**,,
மன்ற,STRUCTURE,in the common place
மராஅத்த,PLANT,in a kadampam tree
பேஎ,O,adjective meaning fierce and ancient
முதிர்,O,adjective meaning ancient
கடவுள்,DEITY,god Murukan
கொடியோர்,PERSON,those who are evil
தெறூஉம்,O,verb meaning will terrorize them
என்ப,O,verb meaning they say
யாவதும்,O,adverb meaning at all
கொடியர்,O,adjective meaning harsh
அல்லர்,PERSON,he is not
எம்,O,pronoun meaning my
குன்று,MOUNTAIN,mountain
கெழு,O,adjective meaning having
நாடர்,PERSON,man from the mountain country
பசைஇ,O,verb meaning desired
பசந்தன்று,O,verb meaning my forehead has become yellow
நுதலே,O,forehead
ஞெகிழ,O,verb meaning since my mind weakened
ஞெகிழ்ந்தன்று,O,verb meaning they became slim
தட,O,adjective meaning curved or wide
மென்தோளே,O,delicate arms
**Poem 88**,,
ஒலி,WATERBODY,loud
வெள்ளருவி,WATERBODY,white waterfalls
ஓங்கு,O,adjective meaning tall
மலை,MOUNTAIN,mountain
நாடன்,PERSON,man from the mountain country
சிறுகண்,ANIMAL,small-eyed
பெருங்களிறு,ANIMAL,big bull elephant
வயப்,ANIMAL,mighty
புலி,ANIMAL,tiger
தாக்கி,O,verb meaning attacking
தொல்,O,adjective meaning ancient
முரண்,O,strength
சோரும்,O,verb meaning fades away
துன்,O,adjective meaning difficult
அருஞ்சாரல்,MOUNTAIN,difficult mountain slopes
நடுநாள்,NATURE,middle of the night
வருதலும்,O,verb meaning coming
வரூஉம்,O,verb meaning when he comes
வடு,O,noun meaning blame
நாணலமே,O,verb meaning we are not ashamed
தோழி,PERSON,O friend
நாம்,O,pronoun meaning we
ஏ,O,expletive particle
**Poem 89**,,
பாவடி,OBJECT,big base of stone mortar
உரல,OBJECT,stone mortar
பகுவாய்,O,adjective meaning big depression
வள்ளை,O,vallai songs
ஏதில்,O,adjective meaning strangers
மாக்கள்,PERSON,people
நுவறலும்,O,verb meaning they will talk ill
நுவல்ப,O,verb meaning talk
அழிவது,O,verb meaning what is the use of worrying
எவன்,O,pronoun meaning what
கொல்,O,particle implying doubt
இப்பேதை,O,adjective meaning this ignorant
ஊர்க்கே,STRUCTURE,because of this town
பெரும்பூண்,CLOTHING,large jewels or necklace
பொறையன்,KING,Chera king Poraiyan
பேஎ,O,adjective meaning fierce and ancient
முதிர்,O,adjective meaning ancient
கொல்லி,MOUNTAIN,Kolli Mountain
கருங்கண்,DEITY,black-eyed god
தெய்வம்,DEITY,god
குட,MOUNTAIN,west side
வரை,MOUNTAIN,mountain
எழுதிய,O,verb meaning etched or painted
நல்,O,adjective meaning good
இயல்,O,traits
பாவை,PERSON,woman
அன்ன,O,like
இம்,O,pronoun meaning this
மெல்லியல்,PERSON,women with delicate traits
குறுமகள்,PERSON,young woman
பாடினள்,O,verb meaning she sings
குறின்,O,verb meaning if she sings as she pounds
ஏ,O,expletive particle
**Poem 90**,,
எற்றோ,O,of what nature is this
வாழி,O,expletive particle
தோழி,PERSON,my friend
முற்றுபு,O,verb meaning maturing
கறி,FOOD,black pepper
வளர்,O,verb meaning growing
அடுக்கத்து,MOUNTAIN,mountain ranges
இரவில்,NATURE,at night
முழங்கி,O,verb meaning roaring
மங்குல்,NATURE,clouds
மா,NATURE,heavy
மழை,NATURE,rain
வீழ்ந்தென,O,since it fell
பொங்கு,O,adjective meaning thick
மயிர்,ANIMAL,hair
கலை,ANIMAL,male monkey
தொட,O,verb meaning as it touched
இழுக்கிய,O,verb meaning slipped
பூ,FLOWER,flower-fragrant
நாறு,O,adjective meaning fragrant
பலவுக்கனி,FRUIT,jackfruit
வரை,MOUNTAIN,mountain
இழி,WATERBODY,waterfall
அருவி,WATERBODY,waterfall
உண்,WATERBODY,drinking water
துறை,WATERBODY,shores
தரூஉம்,O,verb meaning brings
குன்ற,MOUNTAIN,of the mountains
நாடன்,PERSON,the man from the mountains
கேண்மை,O,friendship
மென்தோள்,O,delicate arms
சாய்த்தும்,O,verb meaning despite making them waste away
சால்பு,O,dignity
ஈன்றன்றே,O,verb meaning it has given you
**Poem 91**,,
அரில்,O,adjective meaning tangled
பவர்,PLANT,creeper
பிரம்பின்,PLANT,of rattan
வரிப்,O,adjective meaning lines on sides
புற,O,sides
விளை,O,adjective meaning ripe
கனி,FRUIT,fruits
குண்டு,WATERBODY,deep
நீர்,WATERBODY,water
இலஞ்சி,WATERBODY,pond
கெண்டை,FISH,carp
கதூஉம்,O,verb meaning bite and eat
தண்துறை,WATERBODY,cool port
ஊரன்,PERSON,the man from the town
பெண்டு,PERSON,woman
இனை,O,pronoun meaning of this nature
ஆயின்,O,conjunction meaning if you are
பல,O,adjective meaning many
ஆகுக,O,verb meaning may there be
நின்,O,pronoun meaning your
நெஞ்சில்,O,in your heart
படரே,O,noun meaning sorrow
ஓவாது,O,adverb meaning constantly
ஈயும்,O,verb meaning giving
மாரி,NATURE,rains
வண்கை,O,adjective meaning charitable hands
கடும்,O,adjective meaning fierce
பகட்டு,ANIMAL,proud male
யானை,ANIMAL,elephant
நெடுந்தேர்,VEHICLE,tall chariot
அஞ்சி,WARRIOR,Athiyaman Anchi
கொன்,O,adjective meaning fierce
முனை,WARFARE,battlefield
இரவு,NATURE,night
ஊர்,STRUCTURE,town
போல,O,like
சிலவாகுக,O,verb meaning may they be few
நீ,O,pronoun meaning your
துஞ்சு,O,verb meaning sleeping
நாளே,NATURE,days
**Poem 92**,,
ஞாயிறு,NATURE,sun
பட்ட,O,verb meaning hidden
அகல்வாய்,NATURE,wide
வானத்து,NATURE,in the sky
அளிய,O,adjective meaning they are pitiable
தாமே,O,expletive particle
கொடும்,O,adjective meaning curved
சிறை,BIRD,wings
பறவை,BIRD,birds
இறை,O,adjective meaning tall
உறை,O,verb meaning living
ஓங்கிய,O,adjective meaning tall
நெறி,PATH,path
அயல்,PLACE,nearby
மராஅத்த,PLANT,in kadampam trees
பிள்ளை,BIRD,young chicks
உள்,O,inside
வாய்,O,mouths
செரீஇய,O,verb meaning to thrust
இரை,FOOD,food
கொண்டமையின்,O,since they carry food
விரையுமால்,O,verb meaning they are going very fast
செலவே,O,noun meaning going
**Poem 93**,,
நல்,O,adjective meaning fine
நலம்,O,virtue or beauty
தொலைய,O,verb meaning is lost
நலமிக,O,beauty
சாஅய்,O,verb meaning ruined greatly
இன்,O,adjective meaning sweet
உயிர்,O,life
கழியினும்,O,verb meaning even if lost
உரையல்,O,verb meaning do not talk
அவர்,PERSON,he
நமக்கு,O,pronoun meaning to us
அன்னையும்,PERSON,mother
அத்தனும்,PERSON,father
அல்லரோ,O,verb meaning was he not
தோழி,PERSON,O friend
புலவி,O,friction or quarrel
அஃது,O,pronoun meaning that
எவனோ,O,pronoun meaning why
அன்பு,O,love
இலங்கடை,O,without between us
ஏ,O,expletive particle
**Poem 94**,,
பெரும்,NATURE,large or much
தண்,NATURE,cool
மாரிப்,NATURE,rainy season's
பேதைப்,O,adjective meaning naive
பித்திகத்து,FLOWER,jasmine
அரும்பே,FLOWER,buds
முன்னும்,O,adverb meaning before time
மிக,O,adverb meaning very
சிவந்தனவே,O,verb meaning they got red
யானே,O,pronoun meaning I
மருள்வேன்,O,verb meaning will I get confused
தோழி,PERSON,my friend
பானாள்,NATURE,midnight
இன்னும்,O,adverb meaning still
தமியர்,O,the one who is alone
கேட்பின்,O,verb meaning if he hears
பெயர்த்தும்,O,adverb meaning even though he moved away
என்,O,pronoun meaning what
ஆகுவர்,O,verb meaning will he do
கொல்,O,particle implying doubt
பிரிந்திசினோரே,PERSON,the one who is separated from me
அருவி,WATERBODY,waterfalls
மா,O,adjective meaning tall
மலை,MOUNTAIN,mountains
தத்த,O,verb meaning flowing down
கருவி,NATURE,dark clouds with thunder
மா,NATURE,heavy
மழை,NATURE,rain
சிலைதரும்,O,verb meaning roaring
குரலே,NATURE,sounds
**Poem 95**,,
மால்,O,adjective meaning sky-high
வரை,MOUNTAIN,mountain
இழிதரும்,WATERBODY,flowing down
தூ,O,adjective meaning pure
வெள்,WATERBODY,white
அருவி,WATERBODY,waterfalls
கல்,MOUNTAIN,mountain
முகை,MOUNTAIN,caves or crevices
ததும்பும்,O,verb meaning they roar
பன்மலர்,FLOWER,many flowers
சாரல்,MOUNTAIN,mountain slopes
சிறுகுடி,STRUCTURE,small village
குறவன்,PERSON,mountain dweller
பெருந்தோள்,PERSON,young woman with thick arms
குறுமகள்,PERSON,young girl
நீர்,NATURE,water
ஓரன்ன,O,like
சாயல்,O,delicate beauty
தீ,NATURE,fire
ஓரன்ன,O,like
என்,O,pronoun meaning my
உரன்,O,strength or energy
அவித்தன்றே,O,verb meaning it has ruined
**Poem 96**,,
அருவி,WATERBODY,near waterfalls
வேங்கை,FLOWER,kino trees
பெரு,O,adjective meaning tall
மலை,MOUNTAIN,mountains
நாடற்கு,PERSON,for the man from the country
யான்,O,pronoun meaning I
எவன்,O,pronoun meaning what
செய்கோ,O,verb meaning could I do
என்றி,O,verb meaning you said
யான்,O,pronoun meaning I
அது,O,pronoun meaning that
நகையென,O,noun meaning as a joke
உணரேன்,O,verb meaning if I did not realize
ஆயின்,O,conjunction meaning if
என்,O,pronoun meaning what
ஆகுவை,O,verb meaning will happen to you
கொல்,O,particle implying doubt
நன்னுதல்,PERSON,O young woman with bright forehead
நீயே,O,pronoun meaning you
**Poem 97**,,
யானே,O,pronoun meaning I
ஈண்டையேனே,O,adverb meaning I am here
என்,O,pronoun meaning my
நலனே,O,virtue or beauty
ஆனா,O,adjective meaning unsettling
நோயொடு,O,with pain
கானலஃதே,FOREST,in the seashore grove
துறைவன்,PERSON,the lord of the shore
தம்,O,pronoun meaning his
ஊரானே,STRUCTURE,in his town
மறை,O,secret love
அலர்,O,gossip
ஆகி,O,verb meaning it has become
மன்றத்தஃதே,STRUCTURE,to the common areas
**Poem 98**,,
இன்னள்,O,pronoun meaning this is what happened to her
ஆயினள்,O,verb meaning she became
நன்னுதல்,PERSON,young woman with fine forehead
என்று,O,conjunction meaning thus
அவர்த்,PERSON,to him
துன்னச்,O,adverb meaning near
சென்று,O,verb meaning go
செப்புநர்ப்,PERSON,someone who will tell
பெறினே,O,verb meaning if we can get
நன்று,O,adjective meaning good
மன்,O,expletive particle
வாழி,O,expletive particle
தோழி,PERSON,my friend
நம்,O,pronoun meaning our
படப்பை,GARDEN,garden
நீர்,WATERBODY,water
வார்,O,verb meaning dripping
பைம்புதல்,PLANT,green bushes
கலித்த,O,adjective meaning flourishing
மாரிப்,NATURE,rainy season's
பீரத்து,FLOWER,flowers of ridge gourd vines
அலர்,FLOWER,flowers
சில,O,adjective meaning some
கொண்டு,O,verb meaning taking
ஏ,O,expletive particle
**Poem 99**,,
உள்ளினென்,O,verb meaning did I not think about her
அல்லனோ,O,verb meaning did I not
யானே,O,pronoun meaning me
உள்ளி,O,verb meaning when I thought
நினைத்தனென்,O,verb meaning did I not think about her
அல்லனோ,O,verb meaning did I not
பெரிதே,O,adverb meaning greatly
நினைத்து,O,verb meaning thinking
மருண்டனென்,O,verb meaning did I not get confused
அல்லனோ,O,verb meaning did I not
உலகத்து,STRUCTURE,of the world
பண்பே,O,nature
நீடிய,O,adjective meaning tall
மரத்த,PLANT,trees
கோடு,PLANT,branches
தோய்,O,verb meaning touching
மலிர்,O,adjective meaning big
நிறை,WATERBODY,flood
இறைத்து,O,verb meaning to scoop
உண,O,verb meaning to drink
சென்று,O,verb meaning it subsides
அற்றாங்கு,O,like how it becomes nothing
அனை,O,like that
பெருங்காமம்,O,great love
ஈண்டு,O,adverb meaning here
கடைக்கொளவே,O,verb meaning for it to end
**Poem 100**,,
அருவிப்,WATERBODY,waterfall-fed
பரப்பின்,FIELD,vast land
ஐயனம்,FOOD,mountain rice
வித்தி,O,verb meaning seeded
பரு,O,adjective meaning thick
இலைக்,PLANT,leaves
குளவியொடு,PLANT,with wild jasmine vines
பசுமரல்,PLANT,green hemp plants
கட்கும்,O,verb meaning they remove
காந்தள்,FLOWER,glory lily plants
வேலி,STRUCTURE,as fences
சிறுகுடி,STRUCTURE,small villages
பசிப்பின்,O,verb meaning if hungry
கடுங்கண்,O,adjective meaning fierce
வேழத்து,ANIMAL,of elephants
கோடு,ANIMAL,tusks
நொடுத்து,O,verb meaning sell
உண்ணும்,O,verb meaning feed the family
வல்வில்,WEAPON,strong arrow
ஓரி,WARRIOR,Ori
கொல்லிக்,MOUNTAIN,Kolli Mountain
குட,MOUNTAIN,west side
வரை,MOUNTAIN,mountain
பாவையின்,DEITY,like the Kolli goddess
மடவந்தனளே,O,adjective meaning she is delicate and naive
மணத்தற்கு,O,verb meaning to embrace
அரிய,O,adjective meaning hard
பணை,O,adjective meaning bamboo-like
பெருந்தோளே,O,thick arms
Word,Entity,Explanation
**Poem 101**,,
விரி,WATERBODY,wide or huge
திரைப்,WATERBODY,waves
பெருங்கடல்,WATERBODY,huge ocean
வளைஇய,O,verb meaning surrounded
உலகமும்,STRUCTURE,even the world
அரிது,O,adjective meaning rare
பெறு,O,verb meaning to obtain
சிறப்பின்,O,with greatness
புத்தேள்,MYTH,celestial
நாடும்,REGION,world
இரண்டும்,O,both
தூக்கின்,O,verb meaning if you weighed
சீர்,O,wealth or glory
சாலாவே,O,verb meaning they will not be equal
பூப்,FLOWER,flower-like
போல்,O,like
உண்கண்,O,kohl-lined eyes
பொன்,WEALTH,gold
போல்,O,like
மேனி,O,body
மாண்,O,adjective meaning fine
வரி,O,lines
அல்குல்,O,loins
குறுமகள்,PERSON,young woman
தோள்,O,shoulders
மாறுபடூஉம்,O,verb meaning embracing each other
வைகலொடு,O,with a day
எமக்கே,O,pronoun meaning to me
**Poem 102**,,
உள்ளின்,O,verb meaning if I think
உள்ளம்,O,heart
வேமே,O,verb meaning will burn
உள்ளாது,O,verb meaning if I do not think
இருப்பின்,O,verb meaning if I stay
எம்,O,pronoun meaning my
அளவைத்து,O,extent of ability
அன்றே,O,adverb meaning it is beyond
வருத்தி,O,verb meaning causing sorrow
வான்,NATURE,sky
தோய்வற்றே,O,verb meaning it is like touching the sky
காமம்,O,love
சான்றோர்,O,wise man
அல்லர்,O,verb meaning he is not
யாம்,O,pronoun meaning I
மரீஇயோரே,PERSON,the man I embraced
**Poem 103**,,
கடும்,NATURE,fierce
புனல்,WATERBODY,floods
தொகுத்த,O,verb meaning collected
நடுங்கு,O,adjective meaning trembling
அஞர்,O,noun meaning cold
அள்ளல்,LANDFORM,mud
கவிர்,FLOWER,petals
இதழ்,FLOWER,petals
அன்ன,O,like
தூவி,BIRD,feathers
செவ்வாய்,BIRD,red beak
இரை,FOOD,prey
தேர்,O,verb meaning searches
நாரைக்கு,BIRD,to the stork
எவ்வமாக,O,verb meaning causing sorrow
தூஉம்,NATURE,thrown
துவலை,NATURE,water sprays
துயர்,O,noun meaning sorrow
கூர்,O,adjective meaning sharp
வாடையும்,NATURE,the northerly winds
வாரார்,PERSON,he will not come
போல்வர்,O,verb meaning it appears
நம்,O,pronoun meaning my
காதலர்,PERSON,my lover
வாழேன்,O,verb meaning I will not live
போல்வல்,O,verb meaning it appears
தோழி,PERSON,O friend
யானே,O,pronoun meaning me
**Poem 104**,,
அம்ம,O,particle meaning listen to me
வாழி,O,expletive particle
தோழி,PERSON,my friend
காதலர்,PERSON,my lover
நூல்,OBJECT,thread
அறு,O,verb meaning breaks
முத்தின்,OBJECT,like pearls
தண்,NATURE,cold
சிதர்,NATURE,rain water drops
உறைப்ப,NATURE,falling
தாளி,PLANT,thali vine
தண்,O,adjective meaning cool
பவர்,PLANT,vines
நாள்,NATURE,dawn
ஆ,ANIMAL,cows
மேயும்,O,verb meaning graze
பனிபடு,NATURE,dew falling
நாளே,NATURE,season
பிரிந்தனர்,PERSON,he left
பிரியும்,O,noun meaning the days of separation
நாளும்,NATURE,days
பல,O,adjective meaning many
ஆகுபவே,O,verb meaning are there
**Poem 105**,,
புனவன்,PERSON,mountain farmer
துடவை,FIELD,in the field
பொன்,WEALTH,gold-like
போல்,O,like
சிறு,FOOD,tiny
தினை,FOOD,millet
கடி,O,adjective meaning new
உண்,FOOD,offering
கடவுட்கு,DEITY,for god
இட்ட,O,verb meaning left
செழுங்குரல்,FOOD,mature clusters
அறியாது,O,verb meaning without knowing
உண்ட,O,verb meaning ate
மஞ்ஞை,BIRD,peacock
ஆடுமகள்,PROFESSION,female diviner
வெறியுறு,O,adjective meaning with frenzy
வனப்பின்,O,beautifully
வெய்துற்று,O,verb meaning panics with fear
நடுங்கும்,O,verb meaning trembles
சூர்,DEITY,gods
மலை,MOUNTAIN,mountain
நாடன்,PERSON,the man from the mountains
கேண்மை,O,friendship
நீர்,NATURE,tears
மலி,O,adjective meaning filled
கண்ணொடு,O,with eyes
நினைப்பாகின்றே,O,verb meaning when I think about it
**Poem 106**,,
புல்,O,adjective meaning thin
வீழ்,PLANT,aerial roots
இற்றிக்,PLANT,white fig tree
கல்,ROCK,on rocks
இவர்,O,verb meaning spreading
வெள்,PLANT,white
வேர்,PLANT,roots
